Region,Min,Median,Max
Global,-0.215,-0.133,-0.05
Female,-0.158,-0.077,0.004
Male,-0.354,-0.252,-0.149
High SDI,1.214,1.327,1.44
High-middle SDI,-0.829,-0.638,-0.447
Middle SDI,-1.099,-0.995,-0.891
Low-middle SDI,-0.112,-0.06,-0.008
Low SDI,-0.463,-0.397,-0.33
Andean Latin America,0.224,0.405,0.586
Australasia,1.302,1.462,1.621
Caribbean,0.91,1.164,1.418
Central Asia,-2.035,-1.679,-1.322
Central Europe,0.213,0.33,0.447
Central Latin America,-0.018,0.086,0.191
Central Sub-Saharan Africa,-0.82,-0.697,-0.573
East Asia,-1.929,-1.744,-1.557
Eastern Europe,-2.982,-2.548,-2.111
Eastern Sub-Saharan Africa,-1.141,-1.055,-0.969
High-income Asia Pacific,0.407,0.469,0.531
High-income North America,1.511,1.766,2.022
North Africa and Middle East,0.487,0.579,0.672
Oceania,-0.347,-0.326,-0.304
South Asia,-0.204,-0.146,-0.087
Southeast Asia,-0.486,-0.449,-0.412
Southern Latin America,0.919,1.079,1.24
Southern Sub-Saharan Africa,-0.749,-0.465,-0.18
Tropical Latin America,0.131,0.181,0.231
Western Europe,1.7,1.84,1.98
Western Sub-Saharan Africa,-0.983,-0.941,-0.898
