year,Global,High SDI,High-middle SDI,Low SDI,Low-middle SDI,Middle SDI
1990,3.7198528996,1.91675525377,3.82574402435,5.20928048153,4.61592339734,5.59580879984
1991,3.74569525423,1.94929156285,3.85539791415,5.210611735610001,4.60267852043,5.60455490257
1992,3.77237120025,1.98534880262,3.89008127664,5.2088279791200005,4.59194110519,5.6055272453
1993,3.80027417693,2.02176255478,3.93095631423,5.207885533930001,4.58630619213,5.60298067454
1994,3.82710234737,2.05663867277,3.97423496318,5.19880507327,4.58534011875,5.59660157833
1995,3.8522589721,2.09026150533,4.02078044998,5.19078757303,4.58879771338,5.5894026645
1996,3.88063652107,2.12618846393,4.06297221269,5.190145026910001,4.59764966296,5.58890872852
1997,3.91443655904,2.16916108404,4.11234039076,5.19729381641,4.60651688137,5.58844552627
1998,3.94953062389,2.21068302116,4.16029713993,5.20244533069,4.6240195254400005,5.58847645642
1999,3.98041836769,2.24877210736,4.19502296223,5.20720069405,4.64467295315,5.58563610619
2000,3.99749565889,2.27919857183,4.2113999336,5.2120572497,4.6660825929700005,5.56268186529
2001,3.9866091057,2.31185572729,4.15786410536,5.2130071558,4.68520127937,5.49079212942
2002,3.94790660842,2.35441563474,4.038479225510001,5.20500488612,4.6991670367,5.35877770892
2003,3.89532613206,2.40272005523,3.88933569027,5.187896202789999,4.70756796462,5.1996106326
2004,3.84490604231,2.45019605017,3.74555737647,5.16922879345,4.71054029079,5.05451120516
2005,3.81298210207,2.48767037761,3.6527071266,5.15490188313,4.70876807504,4.95924927131
2006,3.80158393358,2.52398881029,3.60179390971,5.133732133760001,4.706442722989999,4.90670379324
2007,3.79330746274,2.56450333265,3.55692192394,5.10217645558,4.68957782923,4.86610501904
2008,3.7869843569,2.60408602797,3.52596351749,5.0639846191,4.66933871139,4.82707323866
2009,3.78443479906,2.63962387878,3.5036616463,5.02962475251,4.660952851309999,4.79298936483
2010,3.77871320811,2.66888663677,3.48668408166,5.00320847394,4.65574317437,4.75078988955
2011,3.77065988235,2.69187340501,3.46843554495,4.98205044921,4.65682506023,4.69997841542
2012,3.75642068486,2.71549992143,3.4371433108,4.95294984838,4.65934731833,4.6388549299
2013,3.7399183094,2.73785129326,3.4120638022300005,4.911657862939999,4.6482062932,4.57612522403
2014,3.7260887449,2.75952764482,3.40349291956,4.86371505285,4.61839844156,4.5219210746
2015,3.71635116893,2.77774519445,3.40573601552,4.81672410858,4.584502666190001,4.47951815852
2016,3.71644648322,2.79654073563,3.42270438686,4.77160766339,4.56472370704,4.44885868775
2017,3.71279320704,2.81268799576,3.43328516659,4.72325504118,4.55045520351,4.41507597781
2018,3.71208119716,2.8264702859,3.44546051561,4.68775623474,4.53842568677,4.38973436255
2019,3.71711648887,2.83606955824,3.46814688051,4.6706793197000005,4.5210738936,4.37852599088
2020,3.69710716056,2.77486272815,3.47726675815,4.65645511378,4.47999276619,4.37150704057
2021,3.84644833199,2.74837111349,3.78761133276,4.75488879365,4.53480418103,4.60487957832
