year,age_name,cases,age,period,cohort,log_cases
1990,15-19 years,11841.34787522673,17.5,1990,1972.5,9.379437189051623
1991,15-19 years,11778.895254162477,17.5,1991,1973.5,9.374149565329244
1992,15-19 years,11714.367345195098,17.5,1992,1974.5,9.368656707274447
1993,15-19 years,11671.48727987182,17.5,1993,1975.5,9.364989837092674
1994,15-19 years,11671.820602733014,17.5,1994,1976.5,9.365018392968903
1995,15-19 years,11745.994767091312,17.5,1995,1977.5,9.37135272235612
1996,15-19 years,11876.643718484744,17.5,1996,1978.5,9.382413233049732
1997,15-19 years,12032.727049668443,17.5,1997,1979.5,9.395468573926626
1998,15-19 years,12216.41158721456,17.5,1998,1980.5,9.410617392548824
1999,15-19 years,12429.964928361627,17.5,1999,1981.5,9.427945810483063
2000,15-19 years,12681.874231942807,17.5,2000,1982.5,9.448007876747885
2001,15-19 years,12989.386036617749,17.5,2001,1983.5,9.471964827207504
2002,15-19 years,13330.642292203738,17.5,2002,1984.5,9.497895608299883
2003,15-19 years,13663.726018469397,17.5,2003,1985.5,9.522573048286992
2004,15-19 years,13944.616165507165,17.5,2004,1986.5,9.542920484492912
2005,15-19 years,14126.566593361456,17.5,2005,1987.5,9.555883245232861
2006,15-19 years,14170.195411614575,17.5,2006,1988.5,9.558966691272847
2007,15-19 years,14110.46800057635,17.5,2007,1989.5,9.554743079164114
2008,15-19 years,14002.44934501992,17.5,2008,1990.5,9.547058960037525
2009,15-19 years,13891.365762942118,17.5,2009,1991.5,9.539094742551491
2010,15-19 years,13819.171921981851,17.5,2010,1992.5,9.5338845373298
2011,15-19 years,13791.838370367854,17.5,2011,1993.5,9.531904777770643
2012,15-19 years,13782.670075750386,17.5,2012,1994.5,9.531239842615912
2013,15-19 years,13794.403594121128,17.5,2013,1995.5,9.532090742774429
2014,15-19 years,13834.916489394063,17.5,2014,1996.5,9.53502313429109
2015,15-19 years,13916.434889253096,17.5,2015,1997.5,9.540897641710316
2016,15-19 years,13980.728147709196,17.5,2016,1998.5,9.545506623863973
2017,15-19 years,13998.23290754282,17.5,2017,1999.5,9.546757814777871
2018,15-19 years,14026.589617030926,17.5,2018,2000.5,9.548781356272046
