year,observed_cases,predicted_cases_mean,predicted_cases_low,predicted_cases_high
1990,1504707.3912983371,1446648.5262567913,1360490.0110416496,1534649.5003560667
1991,1554580.0975153123,1507380.2392288034,1422675.2899379055,1588693.2061648392
1992,1605757.2464821413,1568233.5558791792,1486070.7592426587,1645625.7193271266
1993,1657916.326005786,1629047.5560478456,1548635.6827343719,1703107.8659206403
1994,1710872.794384624,1689731.2105817948,1611246.5353392644,1761352.7769255526
1995,1764716.1141200738,1750232.6702718942,1672486.0633465063,1818023.3745498927
1996,1822117.0786341827,1810500.1611519693,1732154.8814814617,1877071.9632709217
1997,1884657.2701590979,1870478.8319071736,1792512.6741011522,1935716.9897515655
1998,1949433.5839203512,1930100.9743491372,1852703.9569898245,1995683.549907393
1999,2014310.448106538,1989358.1258512677,1915765.1455102027,2055023.210997128
2000,2076301.34067005,2048285.468642348,1978334.3388615102,2113948.5518474453
2001,2125437.7621256257,2106918.5465459283,2038531.4504102462,2173616.5372337447
2002,2159091.605272229,2165295.5552745443,2096783.0393343617,2235734.528505789
2003,2184628.236148863,2223476.375448887,2155729.1494813412,2295229.132600514
2004,2211594.3114030003,2281585.374406347,2211776.563360598,2355123.9135119715
2005,2252312.3658375195,2339792.4730211003,2268208.4510517363,2416532.9066078914
2006,2308552.0033185664,2398256.7247360335,2323913.48795987,2476358.418191255
2007,2369996.167187763,2457131.5573848,2379166.5912096184,2536808.921535671
2008,2432636.650729509,2516595.8310364047,2434165.756704233,2597999.108336375
2009,2498215.2961304486,2576872.3377091065,2489906.0535038426,2659187.445375971
2010,2564403.105826394,2638220.944544045,2547494.034179832,2720141.881193485
2011,2633290.955468741,2700867.493741912,2601892.212285037,2783943.186246309
2012,2704067.276265215,2765007.1641636654,2657740.941279708,2854070.5115875686
2013,2773064.409008051,2830857.6365094054,2715402.6635256605,2926599.2715780735
2014,2846839.4967379016,2898668.9624392563,2775675.3664341015,2998703.7558415965
2015,2921391.1251532445,2968712.2563257236,2842558.764117303,3075185.4229146233
2016,3011165.195840713,3041151.732739635,2914030.2011074205,3160873.583916656
2017,3105257.149627933,3116007.275110639,2987199.7338162716,3249907.4050445515
2018,3202003.6609204714,3193288.7751576332,3056196.3328300184,3346211.0761187715
2019,3311623.518379496,3273009.383601778,3125206.1519971066,3446046.138188628
2020,3389359.2800851646,3355173.3966209167,3196949.8029204546,3563652.0797875957
2021,3613136.363119052,3439697.2767573753,3267256.0738463113,3684379.417138414
2022,0,3526438.4786949684,3341380.2483318895,3813371.3806806514
2023,0,3615324.1799953463,3415021.605294815,3957815.1130600423
2024,0,3706304.857006997,3488637.8593455344,4106289.6089696656
2025,0,3799318.988308102,3566843.010066612,4268151.306668549
2026,0,3894244.4633149854,3644590.4852555846,4444497.08552958
2027,0,3990904.9034127095,3722124.728300134,4628055.928726316
2028,0,4089127.2938771183,3800869.0341308876,4820147.059928891
2029,0,4188752.146130045,3883429.684111805,5017216.104053601
2030,0,4289602.98177852,3966124.662430505,5220562.091034057
2031,0,4391460.973850012,4044718.111691216,5433702.018753962
2032,0,4494068.978241321,4122356.3844409822,5652820.871604823
2033,0,4597192.070785645,4202988.414291798,5877371.912471196
2034,0,4700636.376682312,4285474.952438564,6108242.705101073
2035,0,4804195.523574651,4366944.351130414,6342753.931916939
2036,0,4907636.184717654,4444131.8754685605,6582991.883010988
2037,0,5010701.685867263,4525944.137670623,6828844.4786973065
2038,0,5113178.988415703,4606217.101645525,7078825.276092408
2039,0,5214924.1721523525,4686778.078359065,7334065.840881762
2040,0,5315791.3289977005,4766724.112477908,7594783.631007153
2041,0,5415625.300466982,4844709.342063582,7860967.702096723
2042,0,5514265.260971098,4922277.911238744,8132577.626050413
2043,0,5611597.213894899,4994137.463992343,8409694.682739219
2044,0,5707576.055268243,5065060.7346058255,8692274.496200208
2045,0,5802162.251525693,5138463.384243052,8980599.813334705
2046,0,5895313.25257999,5211579.089278587,9274359.729849817
2047,0,5986989.568042758,5281131.363696223,9573986.894669719
2048,0,6077186.873518201,5347726.968809019,9868153.445704073
2049,0,6165949.218753781,5412653.316991612,10158150.548077662
2050,0,6253326.123480114,5476628.301568296,10450310.602634145
