year,cases_<5 years,cases_5-9 years,cases_10-14 years,cases_15-19 years,cases_20-24 years,cases_25-29 years,cases_30-34 years,cases_35-39 years,cases_40-44 years,cases_45-49 years,cases_50-54 years,cases_55-59 years,cases_60-64 years,cases_65-69 years,cases_70-74 years,cases_75-79 years,cases_80-84 years,cases_85-89 years,cases_90-94 years,cases_95+ years,pop_<5 years,pop_5-9 years,pop_10-14 years,pop_15-19 years,pop_20-24 years,pop_25-29 years,pop_30-34 years,pop_35-39 years,pop_40-44 years,pop_45-49 years,pop_50-54 years,pop_55-59 years,pop_60-64 years,pop_65-69 years,pop_70-74 years,pop_75-79 years,pop_80-84 years,pop_85-89 years,pop_90-94 years,pop_95+ years
1990,0.0,0.0,0.0,11841.34787522673,11375.043554541477,11171.801169630877,10498.957945349992,12173.592810410952,15063.695243887709,21953.445236975826,31255.11625832263,40130.87255002411,98430.70849141027,256580.2427696039,322090.3459760009,290393.11271945655,214039.5397063618,116225.51237430112,34212.385963262495,7271.670653569797,,,,519423450.5337178,492087904.80582166,442619652.86233056,385422487.02493453,352244471.47129107,286481634.8783486,232195492.45568395,212571467.09908366,185199958.8542785,160609236.79869792,123609457.32686652,84661154.5317363,61555514.35143139,35375927.18533957,15111072.50411186,4285187.551178473,1018086.506542829
1991,0.0,0.0,0.0,11778.895254162477,11437.159584059558,11551.94552469794,10657.87080123315,12541.751713897824,15822.854103662996,22555.736310227607,31756.62115115753,41053.99568385948,101080.47418872578,264334.0045267298,333648.1732865463,297324.8384618271,221261.2902452403,123457.7570775041,36680.57081244458,7636.15878933582,,,,518350546.5166671,497020859.5084274,455741897.2674085,390561332.3044006,361091531.12568736,300529642.2753453,235388281.93107715,214880956.6418725,187841079.78969386,163914796.95868796,127429487.52216437,87729311.89069928,61771393.39243916,36491447.06969699,15805920.646793228,4576828.994623349,1059747.8231485607
1992,0.0,0.0,0.0,11714.367345195098,11484.854876586916,11873.845214731622,10915.555170913383,12817.038290920204,16473.46726636842,23348.9068668582,32205.6899904244,41966.73966787188,103289.75908991172,272144.05105816136,346184.61558722507,304572.351728323,228730.35881944804,130696.90247413795,39261.65482207725,8077.088212986806,,,,517295515.41272897,500647331.0697597,466919880.73670065,398915095.05442584,368394794.00899726,310707130.85950917,243591564.98563662,216306482.87947983,191103915.9732854,166298015.5051578,131286171.1416441,91404862.45676465,61751839.529906385,37507008.86139751,16564525.449275818,4843763.997210358,1108168.6706487315
1993,0.0,0.0,0.0,11671.48727987182,11517.974489088536,12101.106161385718,11306.313894169913,12951.55427593526,17225.239784914753,24046.722856242835,32681.852534395603,42735.61256616381,105115.29279017642,280463.871141468,359172.63354321674,312497.7686423926,236724.59148147845,136867.1973727395,42285.9221181614,8551.185073984518,,,,517308029.2792363,503144509.1286282,474777317.9360036,411338278.7922257,373309813.84655046,321865699.6007825,252553514.57159337,217241046.97521916,194246044.76439938,168255822.5938196,135141884.4071858,95390014.12877746,61662095.22694414,38570726.55481174,17209646.110641733,5154550.978772945,1156852.9293900828
1994,0.0,0.0,0.0,11671.820602733014,11531.75539251935,12260.10493574048,11763.95744360556,12993.774967334626,17819.42713740284,25099.21376149617,33109.00634286607,43324.12064035263,106903.27412562708,288626.9402345166,373144.6925375719,320228.2919523305,244981.7462508869,142790.0844865582,45557.970432083785,9066.61314099836,,,,519239609.9418509,504292344.8601919,480314259.5528276,425652298.5961913,376473676.01885194,330818897.77845,265230770.07931757,218149042.0171934,197003770.88970673,169914554.25508255,138844402.64885554,99207617.6613174,62205838.49690669,39445601.70044832,17839977.70488106,5473774.091857957,1211024.5467086253
1995,0.0,0.0,0.0,11745.994767091312,11551.742243352348,12391.326630120466,12230.752419414865,13040.323750815092,18643.577634448968,25723.62814182409,33469.07359243117,43835.64551834061,108449.30774027896,296381.0183421936,386608.40561396175,330850.9844361916,252804.50347345584,148446.6767662257,48860.105818747004,9683.047231180435,,,,523594826.28540355,504445556.4596863,484649609.3780032,439746808.4155318,379502374.5146267,343378568.355823,275592318.2412454,218767486.8389577,199545802.63798505,171790715.7090417,142008434.0023986,102693526.47908078,63806210.03177218,40080289.14364864,18423094.442916144,5787521.432443662,1280260.738655626
1996,0.0,0.0,0.0,11876.643718484744,11565.213538463167,12507.067156231207,12639.60225061254,13171.836475591395,18985.857887230355,26740.561352846114,34107.337275203514,44152.15230399149,110107.427558463,304013.6306951477,400088.9559284301,344822.081584219,260395.97642657944,154309.29394962362,52222.38488908023,10411.055643985112,,,,529823063.02445024,503870796.3878721,489097095.4766216,452012933.9038319,384584618.8781692,351109627.46064806,288704234.3989592,221628601.55772486,201345880.7185036,174300190.09590507,144863890.44686493,105970260.94718298,66328465.46253043,40266498.289171904,19043761.498802707,6081445.687509755,1369146.4156582586
1997,0.0,0.0,0.0,12032.727049668443,11559.860619405214,12596.71842634482,12941.894930568316,13437.211143590324,19138.93558126656,27491.706693330645,35085.09193891798,44372.82626987242,111840.75395232538,311245.44484062993,415025.6624905441,361084.7977744434,269185.51545736287,160652.0030185905,55779.01853557523,11187.101436661642,,,,537487840.5831051,503203357.44249976,492738283.8198121,462274857.56589055,393026682.5334176,357515199.9403337,298073400.0301292,229578011.0824572,202410909.0689807,177507785.1416768,146974994.06424138,109343978.86590108,69352392.71964179,40346262.17008523,19652551.588950872,6407793.94135934,1452952.8939508423
1998,0.0,0.0,0.0,12216.41158721456,11573.899735838662,12680.027903560209,13128.48143737915,13880.938814674671,19087.94044714372,28401.7320547,35912.04538374477,44696.85496880421,113281.71656675207,317774.46809182904,431189.4222919452,378238.0034608514,278845.0075123313,167355.19450177206,59050.75394601558,12120.685215794572,,,,546654360.7199107,503629786.88318807,495721140.31959647,469431359.2739011,405580834.81241226,361849185.43375427,308498974.2428803,238307902.0892018,203196414.20413834,180680519.22528845,148794512.34727815,112769851.16825356,72638798.39071175,40453043.369239934,20319783.160902817,6705580.690437252,1553609.2655344731
1999,0.0,0.0,0.0,12429.964928361627,11642.9742139626,12764.31166133944,13264.00547184808,14424.246694409803,18972.79416224925,29110.68719523209,37370.33857116389,45093.948675980224,114372.3091595808,324553.7815660609,446624.0468851588,395918.3412942359,287936.50283400895,174246.08764927555,62371.67879138624,13214.428352283874,,,,557122921.5712652,506173066.6526846,497771482.42931235,474679669.45143837,420076030.0827006,364779393.84448403,316890103.0761214,250781031.9070221,204165020.57837525,183577741.24829906,150503840.99353945,116133667.88981776,75825393.28495257,41041380.799497895,20914631.582622487,7004235.993288742,1662534.8899201043
