"year","age","mean","lower","upper","model"
1990,"15-19 years",11848.9545235549,11550.558526887,12147.3505202227,"BAPC_count_space"
1991,"15-19 years",11788.3524110573,11490.8154067892,12085.8894153254,"BAPC_count_space"
1992,"15-19 years",11724.8205912596,11428.1199233077,12021.5212592116,"BAPC_count_space"
1993,"15-19 years",11682.7107999717,11386.5581662755,11978.8634336679,"BAPC_count_space"
1994,"15-19 years",11683.7334921889,11387.5697431086,11979.8972412693,"BAPC_count_space"
1995,"15-19 years",11756.1236584668,11459.0255523896,12053.2217645439,"BAPC_count_space"
1996,"15-19 years",11884.9919316176,11586.2338171499,12183.7500460854,"BAPC_count_space"
1997,"15-19 years",12039.7691105321,11739.0262135859,12340.5120074784,"BAPC_count_space"
1998,"15-19 years",12222.106609467,11919.0436706398,12525.1695482942,"BAPC_count_space"
1999,"15-19 years",12435.8198012509,12130.061890545,12741.5777119568,"BAPC_count_space"
2000,"15-19 years",12687.5018685766,12378.6004522653,12996.403284888,"BAPC_count_space"
2001,"15-19 years",12992.8967935884,12680.2213979199,13305.5721892569,"BAPC_count_space"
2002,"15-19 years",13331.858725634,13015.044125059,13648.6733262089,"BAPC_count_space"
2003,"15-19 years",13660.9617287898,13340.1799199957,13981.743537584,"BAPC_count_space"
2004,"15-19 years",13937.9485952978,13613.8663153251,14262.0308752704,"BAPC_count_space"
2005,"15-19 years",14117.1143841095,13790.9143614206,14443.3144067985,"BAPC_count_space"
2006,"15-19 years",14159.9836814787,13833.275511203,14486.6918517544,"BAPC_count_space"
2007,"15-19 years",14101.4548631723,13775.4279780576,14427.481748287,"BAPC_count_space"
2008,"15-19 years",13995.1409852697,13670.3621077192,14319.9198628201,"BAPC_count_space"
2009,"15-19 years",13885.4750561771,13561.9903468356,14208.9597655186,"BAPC_count_space"
2010,"15-19 years",13813.7693775408,13491.1314277941,14136.4073272875,"BAPC_count_space"
2011,"15-19 years",13786.2712949845,13463.9514077117,14108.5911822573,"BAPC_count_space"
2012,"15-19 years",13777.0229151322,13454.7989203837,14099.2469098808,"BAPC_count_space"
2013,"15-19 years",13787.8053615909,13465.4403012755,14110.1704219063,"BAPC_count_space"
2014,"15-19 years",13828.399463513,13505.5407596484,14151.2581673776,"BAPC_count_space"
2015,"15-19 years",13908.6955343103,13584.8697366246,14232.521331996,"BAPC_count_space"
