"year","mean","lower","upper"
1990,1504715.76053828,1501320.57049257,1508110.95058399
1991,1554588.93687405,1551137.97260584,1558039.90114226
1992,1605762.96321838,1602255.56045916,1609270.36597759
1993,1657920.28976867,1654356.24735887,1661484.33217847
1994,1710876.57328332,1707255.92158389,1714497.22498275
1995,1764723.52098207,1761046.19778359,1768400.84418056
1996,1822123.6423596,1818386.84479117,1825860.43992804
1997,1884667.10140837,1880866.55201179,1888467.65080495
1998,1949447.37691516,1945581.90466634,1953312.84916399
1999,2014331.7217485,2010402.30096686,2018261.14253014
2000,2076334.56861522,2072344.99897531,2080324.13825512
2001,2125469.94728622,2121433.3497889,2129506.54478354
2002,2159105.01786292,2155036.53897504,2163173.49675079
2003,2184623.78093311,2180531.27142155,2188716.29044467
2004,2211577.37995963,2207459.63407557,2215695.12584368
2005,2252291.51556753,2248135.95196289,2256447.07917218
2006,2308535.7109725,2304328.47704195,2312742.94490304
2007,2369999.01641773,2365736.03832974,2374261.99450572
2008,2432660.21780739,2428341.15082442,2436979.28479036
2009,2498247.4952353,2493870.48976117,2502624.50070942
2010,2564421.54172072,2559986.84420424,2568856.23923719
2011,2633288.75495144,2628794.79855693,2637782.71134594
2012,2704061.42793253,2699507.3721122,2708615.48375286
2013,2773066.55051898,2768454.65069852,2777678.45033943
2014,2846855.60008911,2842182.64096899,2851528.55920923
2015,2921404.71308983,2916670.86477375,2926138.56140591
2016,3011165.95482456,3006359.8101756,3015972.09947352
2017,3105258.10703362,3100377.32012162,3110138.89394562
2018,3202022.03634731,3197065.65716057,3206978.41553406
2019,3311667.66914069,3306627.00151412,3316708.33676727
2020,3389514.63771478,3384414.94386947,3394614.33156008
2021,3612983.50432062,3607718.02150128,3618248.98713996
2022,3667599.67669903,3549500.33477381,3785699.01862426
2023,3812372.00610093,3681716.10302373,3943027.90917812
2024,3962044.01005258,3813636.95709816,4110451.063007
2025,4117687.93903247,3945505.43193089,4289870.44613405
2026,4282636.36262793,4079948.05373564,4485324.67152022
2027,4456007.40229305,4215758.39832197,4696256.40626413
2028,4636109.40879624,4351365.19779997,4920853.6197925
2029,4822568.37300164,4486262.7345881,5158874.01141519
2030,5016878.93769627,4621479.64877607,5412278.22661647
2031,5223175.39507888,4760244.60695489,5686106.18320286
2032,5440232.1514171,4900748.72854321,5979715.57429099
2033,5664438.381012,5039451.9663589,6289424.7956651
2034,5894658.52868034,5174869.23128598,6614447.8260747
2035,6132447.82635716,5307693.09199774,6957202.56071657
2036,6382214.52394758,5440865.90723876,7323563.14065641
2037,6642110.48096236,5571886.65595726,7712334.30596745
2038,6907634.8173103,5696577.04742288,8118692.58719772
2039,7177994.53057377,5813678.83427457,8542310.22687298
2040,7455950.59469973,5924518.10691057,8987383.08248889
2041,7746979.63891769,6032172.67065713,9461786.60717824
2042,8049590.77639258,6134157.31863023,9965024.23415494
2043,8360067.95766218,6226782.1059115,10493353.8094129
2044,8679094.08853609,6309512.76461337,11048675.4124588
2045,9010899.61373753,6383958.49165123,11637840.7358238
2046,9361687.5370533,6452400.06879831,12270975.0053083
2047,9730033.28525501,6511432.62046883,12948633.9500412
2048,10113160.6970821,6556844.46474766,13669476.9294165
2049,10512944.9375622,6587117.20495884,14438772.6701657
2050,10934160.8410546,6601845.74100498,15266475.9411043
