"year","cases_mean","cases_lower","cases_upper"
1990,1504717.34125701,1501328.83367966,1508105.84883437
1991,1554592.14911324,1551148.01221132,1558036.28601515
1992,1605766.92518266,1602266.30153678,1609267.54882853
1993,1657922.58204962,1654365.25364897,1661479.91045027
1994,1710875.89467848,1707261.88666942,1714489.90268755
1995,1764720.56259027,1761049.80689863,1768391.31828191
1996,1822120.53351704,1818390.21433079,1825850.8527033
1997,1884659.54667503,1880865.37685774,1888453.71649232
1998,1949440.00608907,1945580.80465321,1953299.20752494
1999,2014326.6604026,2010403.40605493,2018249.91475027
2000,2076340.46499367,2072356.96806616,2080323.96192118
2001,2125483.20646447,2121452.64070153,2129513.77222741
2002,2159112.20677746,2155049.75931894,2163174.65423598
2003,2184618.53047165,2180532.0347778,2188705.0261655
2004,2211569.70339247,2207457.90709859,2215681.49968635
2005,2252282.14889338,2248132.45815834,2256431.83962842
2006,2308526.93314775,2304325.50865495,2312728.35764054
2007,2369997.13899919,2365739.91210622,2374254.36589215
2008,2432665.96812112,2428352.59468754,2436979.3415547
2009,2498261.9914135,2493890.61301526,2502633.36981174
2010,2564430.11880485,2560000.99060339,2568859.24700632
2011,2633281.09792119,2628792.65671454,2637769.53912784
2012,2704055.90397281,2699507.29009083,2708604.51785479
2013,2773066.86437679,2768460.33320269,2777673.39555089
2014,2846864.33936766,2842196.67188422,2851532.0068511
2015,2921406.89133724,2916678.27035786,2926135.51231662
2016,3011143.53221372,3006342.55246822,3015944.51195922
2017,3105225.26058294,3100349.56120845,3110100.95995743
2018,3201993.86277588,3197042.47027427,3206945.2552775
2019,3311687.14289042,3306651.3073207,3316722.97846014
2020,3389717.798464,3384622.70421102,3394812.89271698
2021,3612833.25218828,3607572.26097526,3618094.2434013
2022,3616531.16216247,3539538.46336832,3693523.86095663
2023,3673118.27856191,3585497.83639377,3760738.72073005
2024,3730767.17998915,3626811.61436996,3834722.74560833
2025,3790120.72964354,3664306.9787782,3915934.48050887
2026,3852233.80822787,3699437.94792337,4005029.66853237
2027,3916561.90217569,3732051.13995833,4101072.66439306
2028,3982543.89995557,3761993.45529146,4203094.34461967
2029,4050402.86704036,3789673.12672273,4311132.60735798
2030,4121045.51981787,3815964.86001848,4426126.17961726
2031,4195832.64930914,3841975.77614572,4549689.52247256
2032,4274365.83211161,3867092.9170187,4681638.74720453
2033,4355672.81758028,3890356.15326126,4820989.48189929
2034,4439833.86489353,3911699.29426337,4967968.43552369
2035,4527741.28605155,3931670.54736407,5123812.02473903
2036,4620680.50791256,3951000.64416739,5290360.37165773
2037,4718326.97934853,3968944.47730032,5467709.48139674
2038,4819900.93808842,3984532.29240876,5655269.58376807
2039,4925789.14244791,3997699.49872662,5853878.78616919
2040,5037116.45593058,4008845.5345065,6065387.37735466
2041,5155028.45322512,4018213.04455034,6291843.8618999
2042,5279181.36094409,4024743.26666862,6533619.45521957
2043,5409232.92439807,4027443.56404671,6791022.28474944
2044,5545982.67250079,4026110.46547293,7065854.87952864
2045,5690745.30416885,4020783.72537209,7360706.88296561
2046,5844431.4630583,4011067.74532911,7677795.18078749
2047,6006521.80886948,3995385.94687318,8017657.67086578
2048,6177137.43608543,3972501.71809692,8381773.15407394
2049,6357497.66160255,3941708.19205157,8773287.13115353
2050,6549168.56657954,3902243.8022714,9196093.33088768
