"phenocode","phenotype","category","pval","beta_altC","sebeta","mlogp","maf","n_case","n_control","bonferroni_sig","fdr","rank"
"J10_ASTHMA_MAIN_EXMORE","Asthma (only as main-diagnosis) (more control exclusions)","X Diseases of the respiratory system (J10_)",8.9375811898492e-05,0.034192,0.00872743,4.04878,0.212417,47300,259839,FALSE,0.0135851234085708,1
"J10_ASTHMA_EXMORE","Asthma (more control exclusions)","X Diseases of the respiratory system (J10_)",0.00104541806377651,0.0261949,0.0079911,2.98071,0.212374,59100,259839,FALSE,0.0465350554386832,2
"R18_ANOREXIA","Anorexia","XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)",0.00129464291806073,0.223916,0.0696005,2.88785,0.213207,546,499802,FALSE,0.0465350554386832,3
"M13_KNEEDERANGEMENTS","Internal derangement of knee","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00135325612052353,0.0401889,0.0125416,2.86862,0.212803,20142,315115,FALSE,0.0465350554386832,4
"J10_CHRONRHINITIS","Chronic rhinitis, nasopharyngitis and pharyngitis","X Diseases of the respiratory system (J10_)",0.00210989090477726,0.0437066,0.0142167,2.67574,0.213068,15219,371520,FALSE,0.0465350554386832,5
"D3_OTHPRIMTHROMBOCYTOPENIA","Other primary thrombocytopenia","III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)",0.00226793184933848,0.396876,0.130008,2.64437,0.213151,129,492275,FALSE,0.0465350554386832,6
"I9_CARDMYOINOTH","Cardiomyopathy in other diseases","IX Diseases of the circulatory system (I9_)",0.00278939488379131,0.348426,0.116529,2.55449,0.213178,172,375343,FALSE,0.0465350554386832,7
"M13_BEHCET","Behçet disease","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00291366756891258,-0.497251,0.167047,2.53556,0.213073,105,484260,FALSE,0.0465350554386832,8
"G6_CARPTU","Carpal tunnel syndrome","VI Diseases of the nervous system (G6_)",0.00324645957951405,0.0301562,0.0102454,2.48859,0.213132,31181,435371,FALSE,0.0465350554386832,9
"ASTHMA_PNEUMONIA","Asthma-related pneumonia","Asthma and related endpoints",0.0033968783964006,0.0396099,0.0135218,2.46892,0.213042,16964,441248,FALSE,0.0465350554386832,10
"M13_FIBROMYALGIA","Fibromyalgia","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00381777210141467,-0.0850667,0.029406,2.41819,0.212544,3623,357549,FALSE,0.0465350554386832,11
"G6_POLYOTHUNS","Other and unspecified polyneuropathies, also in other diseases","VI Diseases of the nervous system (G6_)",0.00389609914548039,0.0577041,0.0199913,2.40937,0.213228,7512,491583,FALSE,0.0465350554386832,12
"ST19_FRACT_LUMBAR_SPINE_PELVIS","Fracture of lumbar spine and pelvis","XIX Injury, poisoning and certain other consequences of external causes (ST19_)",0.00397997184672948,0.052629,0.0182756,2.40012,0.213144,9061,481639,FALSE,0.0465350554386832,13
"I9_AORTANEUR","Aortic aneurysm","IX Diseases of the circulatory system (I9_)",0.00560325000256954,-0.0501139,0.0180908,2.25156,0.213199,9937,463106,FALSE,0.0482774669588755,14
"M13_OTHERJOINT","Other joint disorders","XIII Diseases of the musculoskeletal system and connective tissue (M13_)",0.00591275657911846,0.0170267,0.00618571,2.22821,0.213199,110868,315115,FALSE,0.0482774669588755,15
"N14_MENORRHAGIA","Menorrhagia","XIV Diseases of the genitourinary system (N14_)",0.00601533751196032,0.0317599,0.0115619,2.22074,0.213906,28642,130160,FALSE,0.0482774669588755,16
"O15_ANTEPART_HAEM_NAS","Antepartum haemorrhage, not elsewhere classified","XV Pregnancy, childbirth and the puerperium (O15_)",0.0069205402682464,0.0772432,0.0286018,2.15986,0.214134,3627,221186,FALSE,0.0482774669588755,17
"C3_AML_EXALLC","Acute myeloid leukaemia, excluding all cancers (controls excluding all cancers)","II Neoplasms, from cancer register (ICD-O-3)",0.00699664759416629,-0.264722,0.0981539,2.15511,0.213328,322,378747,FALSE,0.0482774669588755,18
"AB1_VIRAL_CNS","Viral infections of the central nervous system","I Certain infectious and parasitic diseases (AB1_)",0.00712147575376527,0.0858882,0.0319155,2.14743,0.213207,2847,497501,FALSE,0.0482774669588755,19
