cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
B cell,AREG,0.6121710538864136,0.6355554461479187,0.45507246376811594,0.46321525885558584,-0.07269412279129028,-0.06325615028026073,0.9495625328034792,345,367,1.0
"CD4-positive, alpha-beta T cell",AREG,0.3819417953491211,0.45655444264411926,0.26630045378552664,0.2904708832543884,-0.3150053322315216,-2.762352820660335,0.005738642819642847,4187,7178,0.030718617446323475
"CD8-positive, alpha-beta T cell",AREG,0.3759475350379944,0.41384366154670715,0.22121014964216004,0.2250865717583686,-0.1676851511001587,-0.4806237777927725,0.6307839128646787,1537,2599,1.0
capillary endothelial cell,AREG,0.0989733561873436,0.14444515109062195,0.06375502008032129,0.09179731879118382,-0.5788760185241699,-1.8043581861442766,0.07117517358756094,1992,4401,0.262648290336763
club cell,AREG,0.4211187958717346,0.33859845995903015,0.3367088607594937,0.31343283582089554,0.3779371380805969,0.6828137214813771,0.49472455804060966,395,134,1.0
conventional dendritic cell,AREG,0.8677666187286377,1.1241549253463745,0.5388692579505301,0.5787589498806682,-0.5886031985282898,-3.870636013106539,0.00010855177090612836,1132,1676,0.0008231842627048067
endothelial cell,AREG,0.10319360345602036,0.13612225651741028,0.08615384615384615,0.10902896081771721,-0.42377597093582153,-0.5777161996508856,0.5634557402680367,325,587,1.0
endothelial cell of lymphatic vessel,AREG,0.04350500926375389,0.0436289981007576,0.023622047244094488,0.0364963503649635,-0.004196023102849722,-0.17987897715797985,0.8572475797841737,127,137,1.0
fibroblast,AREG,0.18515126407146454,0.24914325773715973,0.09986504723346828,0.1302060499780798,-0.4761008024215698,-1.2285073707202272,0.21925656418654915,741,2281,0.6506200219883469
leukocyte,AREG,0.3636167645454407,0.6189426779747009,0.31891891891891894,0.42408376963350786,-0.9665820598602295,-2.2119051885455945,0.026973216681141735,185,191,0.12480827379579142
lung multiciliated epithelial cell,AREG,0.28340762853622437,0.2018711268901825,0.25223214285714285,0.17267552182163187,0.5506361722946167,2.9761918717788487,0.0029185220087458463,896,1054,0.01715261500879661
macrophage,AREG,0.4988367557525635,0.6520373821258545,0.46253746253746253,0.5916047223436817,-0.5074373483657837,-7.753668396357606,8.92752680158705e-15,2002,2287,2.2156498334847857e-13
mast cell,AREG,1.792980432510376,2.2147512435913086,0.6756077116512993,0.7344262295081967,-0.7043737173080444,-5.134997514315972,2.8214775316597804e-07,1193,1220,2.9625514082427695e-06
monocyte,AREG,1.190382957458496,1.5189965963363647,0.5819070904645477,0.6528787031861375,-0.6406683921813965,-6.342575439243521,2.2595550039564845e-10,1636,1789,3.426991756000668e-09
natural killer cell,AREG,0.6085214614868164,0.813330888748169,0.35094752186588923,0.4058813171332981,-0.5836296081542969,-5.605357932624938,2.0782502952307557e-08,2744,5679,2.5789196845363467e-07
neutrophil,AREG,0.2706017792224884,0.37013155221939087,0.10975609756097561,0.13725490196078433,-0.5274894833564758,-0.5188354908048586,0.6038754661749479,164,357,1.0
plasma cell,AREG,0.5659462809562683,0.7405411601066589,0.553072625698324,0.5550239234449761,-0.5274720191955566,-0.8531255491092428,0.39358968450250076,179,209,0.9680178726953397
pulmonary alveolar type 1 cell,AREG,0.43795496225357056,0.1964341104030609,0.2648401826484018,0.14029850746268657,1.340150237083435,2.5751265435461415,0.010020341862186503,219,335,0.05260679477647914
pulmonary alveolar type 2 cell,AREG,1.6628159284591675,1.3732317686080933,0.8207547169811321,0.7978395061728395,0.5358545184135437,5.245976583484476,1.5545664762533523e-07,848,1296,1.7683193667381882e-06
smooth muscle cell,AREG,0.09017745405435562,0.2141226828098297,0.060948081264108354,0.14473684210526316,-1.3392727375030518,-2.4522673437384555,0.014195914735759887,443,836,0.06920508433682945
vein endothelial cell,AREG,0.04255435988306999,0.1110270768404007,0.05186972255729795,0.09696458684654301,-1.4335575103759766,-1.7892011278214228,0.07358243011723584,829,1186,0.26431583450007085
B cell,CD163,0.02992105856537819,0.01897081360220909,0.03188405797101449,0.01907356948228883,0.6653106212615967,0.29331165936870174,0.7692839424877729,345,367,1.0
"CD4-positive, alpha-beta T cell",CD163,0.017057567834854126,0.017867323011159897,0.016957248626701695,0.019225410977988296,-0.06749732047319412,-0.19931254216838404,0.8420182687672942,4187,7178,1.0
