disease,sender,receiver,receptor,score
COPD,capillary endothelial cell,B cell,LRP1,0.00494135357439518
Normal,capillary endothelial cell,B cell,LRP1,0.03496703505516052
COPD,capillary endothelial cell,B cell,PLAUR,0.027004024013876915
Normal,capillary endothelial cell,B cell,PLAUR,0.01501460000872612
COPD,capillary endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.0112286526709795
Normal,capillary endothelial cell,"CD4-positive, alpha-beta T cell",LRP1,0.019093677401542664
COPD,capillary endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.07961450517177582
Normal,capillary endothelial cell,"CD4-positive, alpha-beta T cell",PLAUR,0.08773434907197952
COPD,capillary endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.020839562639594078
Normal,capillary endothelial cell,"CD8-positive, alpha-beta T cell",LRP1,0.024187015369534492
COPD,capillary endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.06841616332530975
Normal,capillary endothelial cell,"CD8-positive, alpha-beta T cell",PLAUR,0.06910094618797302
COPD,capillary endothelial cell,capillary endothelial cell,LRP1,0.02501429058611393
Normal,capillary endothelial cell,capillary endothelial cell,LRP1,0.052058495581150055
COPD,capillary endothelial cell,capillary endothelial cell,PLAUR,0.16347108781337738
Normal,capillary endothelial cell,capillary endothelial cell,PLAUR,0.19241787493228912
COPD,capillary endothelial cell,club cell,LRP1,0.1273592859506607
Normal,capillary endothelial cell,club cell,LRP1,0.11008749902248383
COPD,capillary endothelial cell,club cell,PLAUR,0.11108073592185974
Normal,capillary endothelial cell,club cell,PLAUR,0.15242315828800201
COPD,capillary endothelial cell,conventional dendritic cell,LRP1,0.6871740221977234
Normal,capillary endothelial cell,conventional dendritic cell,LRP1,0.8220128417015076
COPD,capillary endothelial cell,conventional dendritic cell,PLAUR,1.5857394933700562
Normal,capillary endothelial cell,conventional dendritic cell,PLAUR,1.6526594161987305
COPD,capillary endothelial cell,endothelial cell,LRP1,0.01511603593826294
Normal,capillary endothelial cell,endothelial cell,LRP1,0.05589182674884796
