cell_type,gene,mean_cardiomyopathy,mean_normal,pct_cardiomyopathy,pct_normal,log2FC_CM_vs_Normal,pvalue_CM,mean_DCM,log2FC_DCM_vs_Normal,pvalue_DCM,n_CM,n_normal,fdr_CM,fdr_DCM
fibroblast,SERPINE1,0.3957831561565399,0.37559765577316284,0.170830303087545,0.13056660981618343,0.09101643413305283,4.6625206200767236e-23,0.38848039507865906,0.05853680148720741,7.408207850685242e-22,105877,36939,2.5384834487084383e-22,4.033357607595299e-21
fibroblast,THBS1,0.19732460379600525,0.1992020606994629,0.10971221322855766,0.09762040120198165,-0.015060693956911564,0.005255215791871396,0.1840703934431076,-0.12523847818374634,0.24612303107896405,105877,36939,0.015147386694217554,0.48240114091476954
fibroblast,SPP1,0.0028820177540183067,0.0071571902371943,0.0017189757926650735,0.00419610709548174,-1.3154006004333496,0.47774464857716514,0.0026236642152071,-1.451082706451416,0.4773539539226964,105877,36939,0.807223716561417,0.8065635773176595
fibroblast,S100A8,0.0010488770203664899,0.005496836267411709,0.0006233648478895322,0.0026800942093722084,-2.3929648399353027,0.5553843774487213,0.0011643237667158246,-2.2422351837158203,0.5821918418071326,105877,36939,0.9071278164995781,0.9509133416183165
fibroblast,S100A12,0.0011035054922103882,0.0012742235558107495,0.0007272589892044542,0.0006767914670131839,-0.2076476663351059,0.9885038211126566,0.000999538809992373,-0.350481778383255,0.9951726517333377,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,IL1RL1,0.0,0.0,0.0,0.0,0.0,0.9999401219964956,0.0,0.0,0.9999233749569802,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,F13A1,0.0697382241487503,0.06305171549320221,0.04366387411808041,0.03481415306315818,0.15029069781303406,0.014359228956777471,0.07060183584690094,0.16867701709270477,0.010164234298924036,105877,36939,0.03908901216011645,0.031127967540454864
fibroblast,CD163,0.017054947093129158,0.006226890254765749,0.010653871945748369,0.003735888897912775,1.4614324569702148,0.04739938979141584,0.01729918085038662,1.4821224212646484,0.0513944962158072,105877,36939,0.1222405315673356,0.13990723969858626
fibroblast,IL1R2,0.0022806364577263594,0.003266576211899519,0.001426183212595748,0.0020845177184006065,-0.5190542936325073,0.8503549817983209,0.0022756143007427454,-0.5222382545471191,0.8558191919768288,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,AREG,0.004438824951648712,0.00495692016556859,0.00254068400124673,0.0025447359159695713,-0.1596401482820511,0.998802440378424,0.004525445867329836,-0.13169550895690918,0.9892728171472015,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,SOCS3,0.050738394260406494,0.1725376695394516,0.029402041992122936,0.09564417011830315,-1.8552556037902832,8.269176136812854e-81,0.04068632423877716,-2.181095838546753,2.245328541072892e-84,105877,36939,2.0259481535191495e-79,5.501054925628586e-83
fibroblast,EGR1,0.2507288455963135,0.22301386296749115,0.13793363997846558,0.10344080781829502,0.18977540731430054,3.993027208420964e-18,0.20413582026958466,-0.14170609414577484,0.033206166092179586,105877,36939,1.9565833321262724e-17,0.09571189050098822
fibroblast,CDKN1A,0.04984956979751587,0.05982500687241554,0.03168771310105122,0.03091583421316224,-0.2704291343688965,0.9005619435077084,0.04947112128138542,-0.2816987633705139,0.931352249444065,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,LRP1,0.6187413930892944,0.912796676158905,0.3506238370939864,0.43577248978044886,-0.7998745441436768,0.0,0.6780585646629333,-0.620421290397644,2.7049588257269443e-195,105877,36939,0.0,1.325429824606203e-193
fibroblast,PLAUR,0.034578580409288406,0.0818193331360817,0.02248835913371176,0.048458269038143965,-1.276970624923706,7.133874584779174e-14,0.03702227398753166,-1.176682472229004,2.2924320301211774e-11,105877,36939,3.177816860492541e-13,1.02117426796307e-10
fibroblast,ITGAV,0.33741214871406555,0.25506964325904846,0.20427477166901215,0.1432090744199897,0.46594661474227905,8.737282436053541e-61,0.34525883197784424,0.5050947070121765,3.763134529350818e-67,105877,36939,8.56253678733247e-60,6.146453064606336e-66
fibroblast,ITGB3,0.0,0.0,0.0,0.0,0.0,0.9999401219964956,0.0,0.0,0.9999233749569802,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,VTN,0.0013517726911231875,0.0011829263530671597,0.0008972675840834176,0.0007580064430547659,0.19261398911476135,0.9681533627148539,0.0014706449583172798,0.31429600715637207,0.9452561162821732,105877,36939,0.9999401219964956,0.9999421514164615
fibroblast,PLAU,0.021387891843914986,0.13651105761528015,0.013732916497445149,0.07517799615582446,-2.7582876682281494,5.557471176991666e-70,0.024160945788025856,-2.580397129058838,3.313347064177533e-61,105877,36939,9.077202922419722e-69,4.0588501536174783e-60
