gene,subset,n,spearman_rho,pvalue
S100A8,all,10522,0.2313832347411188,6.731539723504836e-128
S100A8,COPD,4770,0.25782844560320445,2.6906556764819694e-73
S100A8,Normal,5752,0.15582223092158715,1.3668441696048756e-32
S100A12,all,10522,0.2195222483538204,5.284146731809315e-115
S100A12,COPD,4770,0.21707600742360522,5.613663435142385e-52
S100A12,Normal,5752,0.19087115260616636,2.520261543010407e-48
SPP1,all,10522,-0.13380599090842743,3.103462424006287e-43
SPP1,COPD,4770,-0.12445196894580882,6.320200850558714e-18
SPP1,Normal,5752,-0.12414242794553804,3.3970512479167026e-21
THBS1,all,10522,0.0946689012354153,2.2121650434261117e-22
THBS1,COPD,4770,0.07107886445086088,8.923476609996852e-07
THBS1,Normal,5752,0.06497468744534937,8.141391740492639e-07
SERPINE1,all,10522,-0.13778535960630497,9.20392160166175e-46
SERPINE1,COPD,4770,-0.1233171456812854,1.2596813150680961e-17
SERPINE1,Normal,5752,-0.12151207663766418,2.287439285307215e-20
CD163,all,10522,-0.13609793747105445,1.109672556720617e-44
CD163,COPD,4770,-0.11154625054469113,1.1092222399407091e-14
CD163,Normal,5752,-0.2084639161674263,1.6849022930644952e-57
F13A1,all,10522,-0.17434886793311957,1.3524852414705058e-72
F13A1,COPD,4770,-0.10157286756932911,2.0432228990247996e-12
F13A1,Normal,5752,-0.2894271165591342,2.1151211871492188e-111
IL1R2,all,10522,-0.14240314308631052,8.608918849575752e-49
IL1R2,COPD,4770,-0.16176197460676386,2.4982344886545735e-29
IL1R2,Normal,5752,-0.11310657417847123,7.699879362486619e-18
AREG,all,10522,-0.05933549562993346,1.1214519319314616e-09
AREG,COPD,4770,-0.04045185650667805,0.005202403461097945
AREG,Normal,5752,-0.04792750014328915,0.00027667429552475693
