direction,ligand,receptor,sender,receiver,ligand_normal,ligand_disease,receptor_normal,receptor_disease,score_normal,score_disease,delta,delta_log2
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac fibroblast,0.00016163316750689134,0.0008944664573768144,0.03015688239338009,0.013924191819941577,4.874352423374826e-06,1.245472252901836e-05,7.580370105643535e-06,1.195610913404922
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac endothelial cell,0.00016163316750689134,0.0008944664573768144,0.00897294268647757,0.008220322941143336,1.4503251482731646e-06,7.352803139657835e-06,5.902477991384671e-06,1.7692872350025581
lung->heart,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",cardiac macrophage,0.00016163316750689134,0.0008944664573768144,0.10652241554811433,0.1167711647936623,1.7217555435527048e-05,0.00010444789009675131,8.723033466122426e-05,2.533128942688235
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac fibroblast,0.0034931281595902784,0.002803022689364007,0.03015688239338009,0.013924191819941577,0.00010534185509376826,3.9029825602352944e-05,-6.631202949141532e-05,-1.409562303553779
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac endothelial cell,0.0034931281595902784,0.002803022689364007,0.00897294268647757,0.008220322941143336,3.1343638772524446e-05,2.3041751717924234e-05,-8.301887054600212e-06,-0.4279399793887424
lung->heart,SERPINE1,PLAUR,natural killer cell,cardiac macrophage,0.0034931281595902784,0.002803022689364007,0.10652241554811433,0.1167711647936623,0.0003720964493786954,0.00032731222438009893,-4.478422499859649e-05,-0.18448016239325724
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac fibroblast,0.0014899819241305783,0.0003510815574711203,0.03015688239338009,0.013924191819941577,4.4933209654268025e-05,4.888526950671722e-06,-4.0044682703596304e-05,-2.963558911904362
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac endothelial cell,0.0014899819241305783,0.0003510815574711203,0.00897294268647757,0.008220322941143336,1.336952240911125e-05,2.8860037810921826e-06,-1.0483518628019068e-05,-1.886652902850571
lung->heart,SERPINE1,PLAUR,capillary endothelial cell,cardiac macrophage,0.0014899819241305783,0.0003510815574711203,0.10652241554811433,0.1167711647936623,0.00015871647368141643,4.0996202403475814e-05,-0.00011772027127794061,-1.9271823446123544
lung->heart,SERPINE1,PLAUR,macrophage,cardiac fibroblast,0.0007617881026149874,0.0004501314077433777,0.03015688239338009,0.013924191819941577,2.2973154219236338e-05,6.267716065599126e-06,-1.6705438153637213e-05,-1.7218457784344379
lung->heart,SERPINE1,PLAUR,macrophage,cardiac endothelial cell,0.0007617881026149874,0.0004501314077433777,0.00897294268647757,0.008220322941143336,6.835480984004776e-06,3.7002255376020324e-06,-3.1352554464027437e-06,-0.7372918524666503
lung->heart,SERPINE1,PLAUR,macrophage,cardiac macrophage,0.0007617881026149874,0.0004501314077433777,0.10652241554811433,0.1167711647936623,8.114750882636325e-05,5.256236879240515e-05,-2.8585140033958094e-05,-0.6169970600549769
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac fibroblast,0.0007315603129448811,0.0,0.03015688239338009,0.013924191819941577,2.206157832114311e-05,0.0,-2.206157832114311e-05,-4.52741934847396
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac endothelial cell,0.0007315603129448811,0.0,0.00897294268647757,0.008220322941143336,6.5642487597560135e-06,0.0,-6.5642487597560135e-06,-2.9191968088938522
lung->heart,SERPINE1,PLAUR,"CD8-positive, alpha-beta T cell",cardiac macrophage,0.0007315603129448811,0.0,0.10652241554811433,0.1167711647936623,7.792757165402318e-05,0.0,-7.792757165402318e-05,-6.3024574577371615
lung->heart,SERPINE1,PLAUR,monocyte,cardiac fibroblast,0.0023685375592846255,0.00112532362488066,0.03015688239338009,0.013924191819941577,7.142770861964997e-05,1.566922201235029e-05,-5.575848660729968e-05,-2.119354961496562
lung->heart,SERPINE1,PLAUR,monocyte,cardiac endothelial cell,0.0023685375592846255,0.00112532362488066,0.00897294268647757,0.008220322941143336,2.1252751770230417e-05,9.250523609817066e-06,-1.2002228160413351e-05,-1.1182861441363772
lung->heart,SERPINE1,PLAUR,monocyte,cardiac macrophage,0.0023685375592846255,0.00112532362488066,0.10652241554811433,0.1167711647936623,0.00025230234213143336,0.00013140535044714094,-0.00012089699168429241,-0.9358989947770541
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac fibroblast,0.08188254674190343,0.1447432454701894,0.03015688239338009,0.013924191819941577,0.0024693223321660294,0.002015432714567807,-0.0004538896175982224,-0.29289403366608135
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac endothelial cell,0.08188254674190343,0.1447432454701894,0.00897294268647757,0.008220322941143336,0.0007347273989379201,0.0011898362213141392,0.00045510882237621906,0.6947317850698649
lung->heart,SERPINE1,PLAUR,fibroblast,cardiac macrophage,0.08188254674190343,0.1447432454701894,0.10652241554811433,0.1167711647936623,0.008722326670178932,0.016901837369569,0.008179510699390068,0.9543151209970704
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac fibroblast,0.0006643937981783919,0.00024704566312731054,0.03015688239338009,0.013924191819941577,2.003604563455687e-05,3.43991120166934e-06,-1.659613443288753e-05,-2.2442608036048095
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac endothelial cell,0.0006643937981783919,0.00024704566312731054,0.00897294268647757,0.008220322941143336,5.961567472305856e-06,2.030795132115399e-06,-3.930772340190458e-06,-1.199715845228079
lung->heart,SERPINE1,PLAUR,conventional dendritic cell,cardiac macrophage,0.0006643937981783919,0.00024704566312731054,0.10652241554811433,0.1167711647936623,7.077283225714866e-05,2.884780984059876e-05,-4.19250224165499e-05,-1.2658127786787723
lung->heart,SERPINE1,PLAUR,mast cell,cardiac fibroblast,0.002969319481743028,0.0007212637435968993,0.03015688239338009,0.013924191819941577,8.954541839929681e-05,1.0043014718612385e-05,-7.950240368068443e-05,-3.035507564168859
lung->heart,SERPINE1,PLAUR,mast cell,cardiac endothelial cell,0.002969319481743028,0.0007212637435968993,0.00897294268647757,0.008220322941143336,2.6643533527521474e-05,5.929020898104516e-06,-2.071451262941696e-05,-1.9962186270711744
lung->heart,SERPINE1,PLAUR,mast cell,cardiac macrophage,0.002969319481743028,0.0007212637435968993,0.10652241554811433,0.1167711647936623,0.0003162990837293423,8.422280746324731e-05,-0.00023207627626609497,-1.8965318715856683
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac fibroblast,0.003015394724312182,0.0023077590162360684,0.03015688239338009,0.013924191819941577,9.093490407070124e-05,3.213367921627068e-05,-5.880122485443056e-05,-1.472314288678299
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac endothelial cell,0.003015394724312182,0.0023077590162360684,0.00897294268647757,0.008220322941143336,2.7056964038360042e-05,1.8970524383795727e-05,-8.086439654564315e-06,-0.49048669220765484
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 2 cell,cardiac macrophage,0.003015394724312182,0.0023077590162360684,0.10652241554811433,0.1167711647936623,0.0003212071298647739,0.00026947970838896195,-5.1727421475811935e-05,-0.25246805270778594
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac fibroblast,0.0004354192743288506,0.0,0.03015688239338009,0.013924191819941577,1.3130887847746048e-05,0.0,-1.3130887847746048e-05,-3.820780208351146
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac endothelial cell,0.0004354192743288506,0.0,0.00897294268647757,0.008220322941143336,3.90699219314043e-06,0.0,-3.90699219314043e-06,-2.2948389761286703
lung->heart,SERPINE1,PLAUR,vein endothelial cell,cardiac macrophage,0.0004354192743288506,0.0,0.10652241554811433,0.1167711647936623,4.638191287771621e-05,0.0,-4.638191287771621e-05,-5.566264538368159
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac fibroblast,0.008444138774772241,0.006511715711876834,0.03015688239338009,0.013924191819941577,0.0002546488999441871,9.067037864910045e-05,-0.00016397852129508664,-1.479636280392615
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac endothelial cell,0.008444138774772241,0.006511715711876834,0.00897294268647757,0.008220322941143336,7.576877326269426e-05,5.352840605254464e-05,-2.2240367210149614e-05,-0.49351161061224236
lung->heart,SERPINE1,PLAUR,lung multiciliated epithelial cell,cardiac macrophage,0.008444138774772241,0.006511715711876834,0.10652241554811433,0.1167711647936623,0.0008994900595122337,0.0007603806284810498,-0.00013910943103118383,-0.24209248592052035
lung->heart,SERPINE1,PLAUR,smooth muscle cell,cardiac fibroblast,0.028641684705523102,0.03179421729484575,0.03015688239338009,0.013924191819941577,0.0008637439172127334,0.0004427087803783362,-0.0004210351368343972,-0.9626598580544012
lung->heart,SERPINE1,PLAUR,smooth muscle cell,cardiac endothelial cell,0.028641684705523102,0.03179421729484575,0.00897294268647757,0.008220322941143336,0.00025700019530682,0.0002613587338245167,4.358538517696732e-06,0.02416865978777624
lung->heart,SERPINE1,PLAUR,smooth muscle cell,cardiac macrophage,0.028641684705523102,0.03179421729484575,0.10652241554811433,0.1167711647936623,0.0030509814401998023,0.003712647787221941,0.0006616663470221389,0.2830908036759456
lung->heart,SERPINE1,PLAUR,endothelial cell,cardiac fibroblast,0.0,0.0023435469529462776,0.03015688239338009,0.013924191819941577,0.0,3.2631997311863566e-05,3.2631997311863566e-05,5.071762553988446
lung->heart,SERPINE1,PLAUR,endothelial cell,cardiac endothelial cell,0.0,0.0023435469529462776,0.00897294268647757,0.008220322941143336,0.0,1.9264712780950847e-05,1.9264712780950847e-05,4.3408978225822885
lung->heart,SERPINE1,PLAUR,endothelial cell,cardiac macrophage,0.0,0.0023435469529462776,0.10652241554811433,0.1167711647936623,0.0,0.00027365870744417494,0.00027365870744417494,8.101496219797523
lung->heart,SERPINE1,PLAUR,B cell,cardiac fibroblast,0.0,0.0,0.03015688239338009,0.013924191819941577,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,B cell,cardiac endothelial cell,0.0,0.0,0.00897294268647757,0.008220322941143336,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,B cell,cardiac macrophage,0.0,0.0,0.10652241554811433,0.1167711647936623,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 1 cell,cardiac fibroblast,0.0,0.002416491068265226,0.03015688239338009,0.013924191819941577,0.0,3.364768516570055e-05,3.364768516570055e-05,5.114687063078935
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 1 cell,cardiac endothelial cell,0.0,0.002416491068265226,0.00897294268647757,0.008220322941143336,0.0,1.9864336965528605e-05,1.9864336965528605e-05,4.3829671697305805
lung->heart,SERPINE1,PLAUR,pulmonary alveolar type 1 cell,cardiac macrophage,0.0,0.002416491068265226,0.10652241554811433,0.1167711647936623,0.0,0.00028217647675481177,0.00028217647675481177,8.145557616640925
lung->heart,SERPINE1,PLAUR,club cell,cardiac fibroblast,0.0013286671948978482,0.0006757391870648755,0.03015688239338009,0.013924191819941577,4.006846033647663e-05,9.40912206094271e-06,-3.065933827553392e-05,-1.9801824692520982
lung->heart,SERPINE1,PLAUR,club cell,cardiac endothelial cell,0.0013286671948978482,0.0006757391870648755,0.00897294268647757,0.008220322941143336,1.1922054589221315e-05,5.554794341658944e-06,-6.367260247562372e-06,-0.979213053486601
lung->heart,SERPINE1,PLAUR,club cell,cardiac macrophage,0.0013286671948978482,0.0006757391870648755,0.10652241554811433,0.1167711647936623,0.00014153283906005599,7.890685197028797e-05,-6.262598708976801e-05,-0.8349032254824829
lung->heart,SERPINE1,PLAUR,neutrophil,cardiac fibroblast,0.0,0.0,0.03015688239338009,0.013924191819941577,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,neutrophil,cardiac endothelial cell,0.0,0.0,0.00897294268647757,0.008220322941143336,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,neutrophil,cardiac macrophage,0.0,0.0,0.10652241554811433,0.1167711647936623,0.0,0.0,0.0,0.0
lung->heart,SERPINE1,PLAUR,plasma cell,cardiac fibroblast,0.0,0.0,0.03015688239338009,0.013924191819941577,0.0,0.0,0.0,0.0
