id,ancestry,breadth,cases,beta,se,note,pool
"Discovery (HERMES/UKB+MVP, EUR)",EUR,composite,47309,0.13976194237515863,0.031094912357838404,published IVW-FE,
"Discovery, winner's-curse-corrected (EUR)",EUR,composite,47309,0.14517807557013232,0.03571934262804356,Zhong-Prentice conditional correction,False
FinnGen R12 strict HF,EUR,strict,37653,0.036331929247390204,0.0255812404259859,published,
BBJ congestive HF (legacy 6-SNP),EAS,composite,9413,-0.06945726501522174,0.04886983202139945,published,
"FinnGen R12 HF and CHD (17,532 cases)",EUR,composite,17532,0.04659673460596099,0.03748218932869454,I2=36%,
"FinnGen R12 HF and BMI>=25 (22,965 cases)",EUR,composite,22965,0.03344695652027162,0.03378692567983168,I2=6%,
"FinnGen R12 other heart diseases (106,069 cases)",EUR,broad,106069,-0.006704912365463738,0.020912423786535326,I2=16%,
"FinnGen R12 other/ill-defined heart diseases (2,192 cases)",EUR,broad,2192,-0.12923460033170292,0.09608365991912757,I2=0%,
"BBJ 2025 HFpEF (7,154 cases)",EAS,HFpEF,7154,-0.14533375244810556,0.055467553253944736,I2=47%,
"BBJ 2025 HFrEF (4,254 cases)",EAS,HFrEF,4254,0.001759797523187703,0.07688443866571332,I2=45%,
"BBJ 2025 all-cause HF (16,251 cases)",EAS,composite,16251,-0.07782756755814936,0.037777503736451334,I2=46%,
