scenario,OR,copd_prevalence,PAF,PAF_pct,implied_cases_of_60M_HF
Discovery IVW (published; EUR discovery),1.15,0.03,0.004479840716774512,0.4479840716774512,268790
Discovery IVW (published; EUR discovery),1.15,0.05,0.007444168734491311,0.7444168734491311,446650
Discovery IVW (published; EUR discovery),1.15,0.1,0.014778325123152703,1.4778325123152702,886700
European subgroup FE (k=6),1.036,0.03,0.0010788348583529797,0.10788348583529797,64730
European subgroup FE (k=6),1.036,0.05,0.0017967658215212634,0.17967658215212634,107806
European subgroup FE (k=6),1.036,0.1,0.003587086488640896,0.3587086488640896,215225
East Asian subgroup FE (k=4),0.922,0.03,-0.002345488442956517,-0.2345488442956517,-140729
East Asian subgroup FE (k=4),0.922,0.05,-0.003915269551249873,-0.3915269551249873,-234916
East Asian subgroup FE (k=4),0.922,0.1,-0.00786131828260431,-0.786131828260431,-471679
Overall FE (k=10),1.013,0.03,0.00038984795929587166,0.03898479592958717,23391
Overall FE (k=10),1.013,0.05,0.0006495777744466048,0.06495777744466047,38975
Overall FE (k=10),1.013,0.1,0.0012983121941475982,0.1298312194147598,77899
