group,rank,location,ASPR_2021_per_100k,cases_2021
Top 10,1,Papua New Guinea,83.09089298606,2611.2315530086144
Top 10,2,China,76.89054004683,1511247.9244923254
Top 10,3,Somalia,74.13996330406,3987.230462164018
Top 10,4,Nepal,72.99301450845999,14038.757960881112
Top 10,5,South Africa,67.67351620152,28563.289703727456
Top 10,6,Lesotho,65.84572136445,615.1269650656428
Top 10,7,India,65.20816858171,629642.8008634907
Top 10,8,Democratic People's Republic of Korea,65.04399054731,19064.542993338808
Top 10,9,Canada,55.37404764156,43426.76046862789
Top 10,10,Rwanda,55.21326406327,3060.1733249919403
Bottom 10,201,Antigua and Barbuda,5.11770582093,4.859570591385503
Bottom 10,202,Belarus,4.6133710361,738.5198505372655
Bottom 10,203,Georgia,4.32831401984,267.31527451566365
Bottom 10,204,Latvia,4.31799872598,191.0131271593598
Bottom 10,205,Montenegro,4.30497947987,41.92208752646821
Bottom 10,206,Turkmenistan,3.96617686933,139.66393167439173
Bottom 10,207,Bulgaria,3.32439637966,484.1584333219705
Bottom 10,208,Estonia,3.3201827832200004,98.353711989892
Bottom 10,209,Kuwait,3.22821246815,77.87364387082646
Bottom 10,210,Uzbekistan,3.19580694921,697.1933052037786
