no,gene,category
1,SMOC2,inflammation/fibrosis shared gene
2,SLCO4A1,inflammation/fibrosis shared gene
3,IL1RL1,inflammation/fibrosis shared gene
4,FNDC1,inflammation/fibrosis shared gene
5,CD163,inflammation/fibrosis shared gene
6,SFRP4,inflammation/fibrosis shared gene
7,CCDC113,inflammation/fibrosis shared gene
8,BCL6,inflammation/fibrosis shared gene
9,ADAMTS9,inflammation/fibrosis shared gene
10,TMTC1,inflammation/fibrosis shared gene
11,COL14A1,inflammation/fibrosis shared gene
12,KCND3,inflammation/fibrosis shared gene
13,PLA2G2A,inflammation/fibrosis shared gene
14,MXRA5,inflammation/fibrosis shared gene
15,SVEP1,inflammation/fibrosis shared gene
16,IL1R2,inflammation/fibrosis shared gene
17,RASL11B,inflammation/fibrosis shared gene
18,SULT1B1,inflammation/fibrosis shared gene
19,MT1X,inflammation/fibrosis shared gene
20,SH3PXD2B,inflammation/fibrosis shared gene
21,ITGBL1,inflammation/fibrosis shared gene
22,SGPP2,inflammation/fibrosis shared gene
23,BEX1,inflammation/fibrosis shared gene
24,HMCN1,inflammation/fibrosis shared gene
25,PROM1,inflammation/fibrosis shared gene
26,SERPINE1,inflammation/fibrosis shared gene
27,F13A1,inflammation/fibrosis shared gene
28,CHRDL2,inflammation/fibrosis shared gene
29,AREG,inflammation/fibrosis shared gene
30,S100A8,inflammation/fibrosis shared gene
31,SLCO5A1,inflammation/fibrosis shared gene
32,CDKN1A,inflammation/fibrosis shared gene
33,CCDC141,inflammation/fibrosis shared gene
34,FMN1,inflammation/fibrosis shared gene
35,PTX3,inflammation/fibrosis shared gene
36,THBS1,inflammation/fibrosis shared gene
37,SPP1,inflammation/fibrosis shared gene
38,LDLR,inflammation/fibrosis shared gene
39,SOCS3,inflammation/fibrosis shared gene
40,EGR1,inflammation/fibrosis shared gene
41,S100A12,inflammation/fibrosis shared gene
