method,beta,se,pval,OR,OR_95CI_low,OR_95CI_high,note
IVW (fixed effects),0.1405,0.0311,6.18e-06,1.151,1.083,1.223,
"IVW (random effects, DL)",0.1456,0.0508,0.00418,1.157,1.047,1.278,tau2 = 0.0118
Weighted median,0.1977,0.0389,3.83e-07,1.219,1.129,1.315,
Simple mode,0.1959,0.0502,9.64e-05,1.216,1.102,1.342,
MR-Egger (slope),0.1399,0.0481,0.00367,1.150,1.047,1.264,intercept = 0.00052 (P = 0.925)
Radial IVW (modified second-order weights),0.211,,8.6e-06,,,,no outlier variants identified; radial Q P = 0.22
CAUSE (causal model gamma; sensitivity),0.1379,,,1.148,1.032,1.265,causal-model gamma posterior only; full CAUSE model comparison requires genome-wide summary statistics
MR-Clust cluster 1 (Causal; n = 6 SNPs),0.2630,,,1.301,,,"rs114904431, rs1246642, rs2273500, rs2395191, rs4488938, rs9788721"
MR-Clust cluster 2 (Null; n = 4 SNPs),-0.0302,,,0.970,,,"rs11525583, rs1512281, rs34944514, rs3822479"
Cochran's Q (heterogeneity),,,0.0262,,,,"Q = 18.89, df = 9, I2 = 52.3%"
MR-PRESSO,,,,,,,no significant outliers detected (executed; archived logs)
Steiger directionality,,,,,,,10/10 instruments orientated COPD -> HF (correct direction)
Instrument strength (F),,,,,,,"median F = 36.9, range 31.5-166.4"
